# https://wiki.pcsx2.net/Complete_List_of_Games + https://wiki.pcsx2.net/Complete_List_of_Demos_and_Tool_Discs
# Title;ID
!Que Pasa Neng!;SLES-54604
.hack//Fragment;SLPS-25527
Armored Core: Nine Breaker;SLUS-21200 SLES-53819 SLPS-25408, SCKA-20047 (Korea), SCAJ-20105
Army Men: Air Attack 2;SLUS-20004 SLES-50233
Army Men: Green Rogue;SLUS-20087 SLES-50191
Army Men: Major Malfunction;SLES-53996
Army Men: RTS;SLUS-20206 SLES-50434, SLES-50706 SLPM-65229
Army Men: Sarge's Heroes 2;SLUS-20132 SLES-50192
Army Men: Sarge's War;SLES-52587
Army Men: Soldiers of Misfortune;SLUS-21831
Art of Fighting Anthology;SLUS-21487 SLES-54790 SLPS-25610 (NeoGeo Online Collection Vol. 4), SLPS-25790 (SNK Best Collection), NPJD-00099 (PS2 Classics)
Arthur and the Invisibles;SLUS-21305 SLES-54420
Ashita no Joe 2: The Anime Super Remix;SLPM-65143
Ashita no Joe Touchi: Typing Namida Hashi;SLPS-20081, SLPS-20080 (Keyboard Set)
Ashita no Joe: Masshiro ni Moe Tsukiro!;SLPM-65441, VW177-J1, SLPM-65625 (Konami the Best), VW177-J2 (Konami the Best)
Asobi ni Iku yo! Chikyuu Pinchi no Konyaku Sengen;SLPM-66457, SLPM-66456 (Limited Edition)
Assault Suits Valken;SLES-53233 SLPM-62501, SLKA-15023
Asterix & Obelix XXL 2: Mission: Las Vegum;SLES-53849, SLES-53060 (France, Germany), SLES-53725
Asterix & Obelix: Kick Buttix;SLUS-20866, SLUS-29111 (Demo) SLES-51838
Asterix at the Olympic Games;SLES-54886, SLES-55034, SLES-55035
Astro Boy;SLUS-20867 SLES-52486 SLPM-65551, SLKA-25159 (Korea), SCAJ-25037, SLAJ-25037
Astro Boy: The Video Game;SLUS-21895 SLES-55593
Astro Kyuudan: Kessen!! Victory Kyuudanhen;SLPS-25582
Atari Anthology;SLUS-21076 SLES-53061
Atelier Iris 2: The Azoth of Destiny;SLUS-21327 SLES-54385 SLPM-65985, GUST-00004 (Premium Box), SLPM-66537 (Gust Best Price)
Atelier Iris 3: Grand Phantasm;SLUS-21564 SLES-54822 SLPM-66436, SLPM-66849 (Gust Best Price)
Atelier Iris: Eternal Mana;SLUS-21113 SLES-53764 SLPM-65594, GUST-00003 (Premium Box), SLPM-66081 (Gust Best Price)
Atelier Marie + Elie;SLPM-66140, GUST-00006 (Premium Box Edition)
Athens 2004;SCUS-97379, SCUS-97403 (Demo) SCES-52410, SCES-52410P (Platinum), SCES-52411, SCES-52411/P (Platinum), SCED-52491 (Demo, PlayStation 2 Press Kit) SCPS-15074, SCKA-20031 (Korea), SCAJ-20089
Atlantis III: The New World;SLES-50561, SLES-50661, SLES-50757
ATV Offroad Fury;SCUS-97104, SCUS-97104GH (Greatest Hits), SCUS-97122 (Demo) SCES-50293
ATV Offroad Fury 2;SCUS-97211, SCUS-97369, SCUS-97238 (Demo), SCUS-97510 (Greatest Hits), SCUS-97211GH (Greatest Hits, PlayStation 2 Combo Pack) SLES-51814
ATV Offroad Fury 3;SCUS-97405, SCUS-97405GH (Greatest Hits), SCUS-97514 (Greatest Hits), SCUS-97437 (Demo) SLES-53754
ATV Offroad Fury 4;SCUS-97479, SCUS-97579 (Demo), SCUS-97553 (Demo, Online) SCES-54688
ATV Quad Power Racing 2;SLUS-20570 SLES-50850
Austin Mini Racing;
Auto Modellista;SLUS-20642, SLUS-20498, SLUS-28031 (Public Beta Volume 2.0 (Version 1.01)) SLES-51191 SLPM-65124, SLPM-65183 (Modem Pack), CPCS-01003 (Modem Pack), SLPM-67540 (Korea), SLPM-65286 (U.S.-Tuned)
Autobahn Raser IV;SLES-51009
Autobahn Raser: Das Spiel zum Film;SLES-52459
Avatar - The Last Airbender: Into the Inferno;SLUS-21804 SLES-55263, SLES-55264 (Australia)
Avatar: The Last Airbender;SLUS-21395, SLUS-21395GH (Greatest Hits) SLES-54188
Avatar: The Last Airbender - The Burning Earth;SLUS-21588 SLES-54840
Axel Impact: The Extreme Racing;SCPS-56016
Ayaka Shibito;SLPM-66491, DMP-P201 (Limited Edition), SLPM-66862 (Best Selection)
Azur & Asmar;SLES-54695
B-Boy;SLUS-21761 SCES-53960
Babe;SLES-54380, SLES-54425, SLES-54434 (Australia)
Backyard Baseball;SLUS-20865
Backyard Baseball '09;SLUS-21751
Backyard Baseball '10;SLUS-21884
Backyard Basketball;SLUS-20704
Backyard Football '08;SLUS-21670
Backyard Football '10;SLUS-21919
Backyard Football 2006;SLUS-20876
Backyard Football 2009;SLUS-21809
Backyard Sports Baseball 2007;SLUS-21403
Backyard Sports Basketball 2007;SLUS-21485
Backyard Wrestling 2: There Goes the Neighborhood;SLUS-21043 SLES-52686 SLPS-25493
Backyard Wrestling: Don't Try This at Home;SLUS-20638 SLES-51986 SLPS-25341
Bad Boys: Miami Takedown;SLUS-20982 SLES-51772, SLES-52362, SLES-52363
Bakuen Kakusei: Neverland Senki Zero;SLES-54339 SLPM-65635
Bakufuu Slash! Kizna Arashi;SCPS-15086, SCPS-15079 (w/ EyeToy), SCAJ-20107
Bakugan Battle Brawlers;SLUS-21902 SLES-55579
Bakumatsu Koihana: Shinsengumi;SLPM-65835
Bakumatsu Renka: Karyuu Kenshiden;SLPS-25818, SLPS-25817 (Limited Edition)
Bakumatsu Rouman: Gekka no Kenshi 1-2;SLPS-25503 (NeoGeo Online Collection Vol. 2), SLPS-25792 (SNK Best Collection)
Bakushou! Jinsei Kaidow;SLPM-65522, TCPS-10082, SLPM-65812 (Taito Best), TCPS-10101 (Taito Best)
Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman;SLPM-65234, SLPM-74419 (PlayStation 2 the Best), SCAJ-20010
Baldr Bullet: Equilibrium;SLPM-66815, ALCH-00012 (Limited Edition)
Baldr Force EXE;SLPM-65904, ALCH-00002 (Mega Box), SLPM-66356 (Alchemist Best), ALCH-00006 (Simalcrum Pack Alchemist Best)
Baldur's Gate: Dark Alliance;SLUS-20035, SLUS-20035GH (Greatest Hits) SLES-50672 SLPS-25140, SLPS-25139 (Limited Edition), SLPS-25291 (PCCW The Best)
Baldur's Gate: Dark Alliance II;SLUS-20675 SLES-52187, SLES-52188 SLPM-65845
Band Hero;SLUS-21898, SLUS-21898SBX (Band Kit) SLES-55578
Barbarian;SLUS-20136 SLES-50972 SLKA-15001 (Korea), SLPM-62292, TCPS-10064
Barbie as The Island Princess;SLUS-21684 SLES-55015
Barbie Horse Adventures: Riding Camp;SLUS-21806 SLES-55371
Barbie Horse Adventures: Wild Horse Rescue;SLUS-20664 SLES-51845
Barbie in The 12 Dancing Princesses;SLUS-21579 SLES-54566, SLES-54608
Barnyard;SLUS-21277 SLES-54376, SLES-54378, SLES-54377 SCKA-20096
Baroque;SLUS-21714 SLES-55216 SLPM-66747, SLPM-55107 (International)
Baseball Live 2005;SLPS-25469
Basic Studio: Powerful Game Koubou;SLPS-20084 (Disc 1), SLPS-20085 (Disc 2)
Baskelian;SLPS-20266
Bass Landing 3;SLPS-25213, SLPS-25336 (Sammy Best w/TsuriCon2+), SLPS-25337 (Sammy Best), SLPM-66075 (Sega the Best 2800)
BASS Strike;SLUS-20325 SLES-50512 SLPM-62147
Batman Begins;SLUS-21198 SLES-53387 SLKA-25292
Batman: Rise of Sin Tzu;SLUS-20709 SLES-51756 SLKA-25102
Batman: Vengeance;SLUS-20226 SLES-50355 SLPS-25109 (Unconfirmed, likely cancelled)
Battle Assault 3 featuring Gundam Seed;SLUS-20929
Battle Engine Aquila;SLUS-20495 SLES-50777
Battle Gear 3;SLPM-65434, TCPS-10076, TCPS-10077 (Limited Edition), SCAJ-20055
Battle of Sunrise;SLPS-25855
Battle Stadium D.O.N;SLPS-25675
Battlefield 2: Modern Combat;SLUS-21026, SLUS-21026GH (Greatest Hits), SLUS-29117 (Public Beta Vol.1.0), SLUS-29152 (Regular Demo), SLUS-29172 (E3 Demo) SLES-53730, SLES-53729, SLED-53731 (Demo) SLPM-66206, SLPM-66651 (EA Best Hits), SLPM-55034 (EA:SY! 1980)
Battlestar Galactica;SLUS-20421 SLES-51702
BCV: Battle Construction Vehicles;SLES-51714, NPED-00030 SLPS-25004
Beach King Stunt Racer;SLES-51383
Beast Sapp;SLPS-25304, SLPS-20346
Beat Down: Fists of Vengeance;SLUS-21150 SLES-53505 SLPM-66181, SLPM-66819 (Best Price), SLPM-66446 (CapKore)
Beatmania;SLUS-21239P (Bundle), SLUS-21239
BeatMania Da Da Da!!;SLPM-62052
BeatMania Da Da Da!! The Best Da;SLPM-62175
BeatMania IIDX 10th Style;SLPM-66180, VW296-J1, 2DX10SP (Special Edition)
BeatMania IIDX 11: IIDX Red;SLPM-66426, VW321-J1, 2DX11SP (Special Edition), 2DX11SPVE4 (Special Edition Complete Set)
BeatMania IIDX 12: Happy Sky;SLPM-66621, VW326-J1, 2DX12SP (Special Edition), 2DX12SPCD (Special Edition w/ Beatnation Records), 2DX12SPCDTS (Special Edition w/ Beatnation Records w/ T-shirt size S), 2DX12SPCDTM (Special Edition w/ Beatnation Records w/ T-shirt size M), 2DX12SPCDTL (Special Edition w/ Beatnation Records w/ T-shirt size L), 2DX12SPCDTXL (Special Edition w/ Beatnation Records w/ T-shirt size XL)
BeatMania IIDX 13: DistorteD;SLPM-66828, VW347-J1, 2DX13SP (Special Edition), 2DX13SPVE6 (Special Edition, Complete Set)
