# https://wiki.pcsx2.net/Complete_List_of_Games + https://wiki.pcsx2.net/Complete_List_of_Demos_and_Tool_Discs
# Title;ID
!Que Pasa Neng!;SLES-54604
.hack//Fragment;SLPS-25527
Rocky: Legends;SLUS-20890 SLES-52761, SLED-52891 (Demo)
Rogue Galaxy;SCUS-97490, SCUS-97572 (Demo) SCES-54552 SCPS-15102, SCPS-17013 (Directors Cut), SCPS-19254 (PlayStation 2 the Best), SCAJ-20162, NPJC-00009 (PS2 Classics)
Rogue Hearts Dungeon;SLPM-66736
Rogue Ops;SLUS-20746, SLUS-28039 (Trade Demo) SLES-52002 SLPM-65534
Rogue Trooper;SLUS-21320 SLES-52921
Roland Garros 2005: Powered by Smash Court Tennis;SCES-53310
Roller Coaster Funfare;SLES-55131
Rolling;SLES-51906
Romance of the Three Kingdoms IX;SLUS-20879 SLPM-65423, SLPM-65673 (Power-Up Kit), SLKA-25128 (BigHit, Korea), SLPM-66172 (Koei the Best), SLPM-66523 (Power-Up Kit, Koei the Best), SLPM-66813 (Koei Teiban Series), SLKA-25266 (PlayStation 2 - Big Hit Series), SLPM-66971 (Power-Up Kit, Koei Teiban Series)
Romance of the Three Kingdoms Treasure Pack;KOEI-00061
Romance of the Three Kingdoms VII;SLUS-20319 SLPM-62010, SLPM-74005 (PlayStation 2 the Best), SLPM-62546 (Koei Teiban Series)
Romance of the Three Kingdoms VIII;SLUS-20720 SLES-52258 SLPM-62131, SLPM-62319 (Power-Up Kit), SLPM-62519 (Koei the Best), SLPM-62641 (Power-Up Kit, Koei the Best), SLPM-62710 (Koei Teiban Series), SLPM-62762 (Power-Up Kit, Koei Best Series)
Romance of the Three Kingdoms X;SLUS-21202 SLPM-65891, KOEI-00033 (Anniversary Box), SLPM-66560 (Koei the Best), SLPM-55157 (Koei Teiban Series)
Romance of the Three Kingdoms XI;SLUS-21584 SLPM-66549, KOEI-00109 (Premium Box), SLPM-66701 (Power-Up Kit), SLPM-55049 (Koei the Best), SLPM-55112 (Power-Up Kit, Koei the Best), SLPM-55272 (Power-Up Kit, Koei Tecmo Teiban Series)
Romancing SaGa;SLUS-21263 SLPM-65920, SLPM-66422 (Ultimate Hits), SCAJ-20124, NPJD-00076 (PS2 Classics)
Room Zoom;SLES-52603
Roommania #203;SLPM-65110
Roommate Asami: Okusama wa Joshikousei;SLPS-25130, SLPM-65468 (D-Collection)
Rosario to Vampire Capu 2: Koi to Yume no Rhapsodia;SLPM-55189, SLPM-55188 (Limited Edition)
Routes PE;SLPS-25727, SLPS-25722 (First Print Limited Edition)
Rozen Maiden ~duellwalzer~;SLPM-66357, TCPS-10152, TCPS-10153 (Limited Edition), TCPS-10184 (Taito Best)
Rozen Maiden ~gebetgarten~;SLPM-66712, TCPS-10181, TCPS-10182 (Limited Edition)
RPG Maker 3;SLUS-21178, NPUD-21178 (PS2 Classics) SLPS-25404
RPG Maker II;SLUS-20340 SLPS-20143
RPM Tuning;SLES-52190
RS3: Racing Simulation Three;SLES-51633
RTL Biathlon 2007;SLES-54372
RTL Biathlon 2009;SLES-55378, SLES-55408
RTL Ski Jumping 2003;SLES-51391
RTL Ski Jumping 2004;SLES-51888
RTL Ski Jumping 2005;SLES-53023
RTL Ski Jumping 2006;SLES-53303
RTL Ski Jumping 2007;SLES-54368
RTL Winter Games 2007;SLES-54374
RTX Red Rock;SLUS-20491 SLES-51069, SLES-51071, SLES-51072, SLES-51070, SLES-51073
Ruff Trigger: The Vanocore Conspiracy;SLUS-21314, NPUD-21314 (PS2 Classics) SLES-54021
Rugby;SLUS-20262 SLES-50220, SLES-50275
Rugby 06;SLUS-21368 SLES-53911, SLES-53912 SLPM-66509
Rugby 08;SLUS-21640 SLES-54810, SLES-54811 SLPM-66836, SLPM-55128 (EA:SY! 1980)
Rugby 2004;SLUS-20749 SLES-51732, SLES-51733
Rugby 2005;SLUS-21158 SLES-53095, SLES-53094, SLED-53198 (Demo)
Rugby Challenge 2006;SLES-53760
Rugby League;SLES-52100
Rugby League 2;SLES-52919
Rugby League 2: World Cup Edition;SLES-55346
Rugrats Royal Ransom;SLUS-20443 SLES-51311, SLES-51385, SLES-51312
Rule of Rose;SLUS-21448, SLUS-28063 (Trade Demo) SLES-54218 SCPS-15093, SCAJ-20168
Rumble Racing;SLUS-20174 SLES-50120
Rumble Roses;SLUS-20970 SLES-52535 SLKA-25234, SLPM-65885, VW243-J1, SLPM-66085 (Konami the Best), VW243-J2 (Konami the Best), SLPM-61106 (Trial)
Rune Princess;SLPM-66158, SLPM-66157 (First Print Limited Edition)
Rune: Viking Warlord;SLUS-20109 SLES-50339, SLES-50335, SLES-50336, SLES-50337, SLES-50338
Rurouni Kenshin: Meiji Kenkaku Romantan - Enjou! Kyoto Rinne;SLPS-25685, SLPS-73253 (PlayStation 2 the Best)
Rygar: The Legendary Adventure;SLUS-20471, NPUD-20471 (PS2 Classics) SLES-51445 SLPS-25178, SCKA-20006 (Korea), SCAJ-20003, SCAJ-20016, SLPM-61036 (Demo, Taikenban)
Ryu-Koku;SLPM-66535, SLPM-66534 (Limited Edition)
S.L.A.I.: Steel Lancer Arena International;SLUS-20969, SLUS-29132 (Public Beta Vol.1.0) SLES-52940, TLES-52940 (Beta Trial Disc, v0.11) SLPM-65791, VW249-J1
S.Y.K Renshouden;SLPM-55247
S.Y.K Shinsetsu Saiyuuki;SLPM-55206, SLPM-55205 (Limited Edition)
S.Y.K Twin Pack;SRP2-00301
Sacred Blaze;SLPS-25917
Safari Adventures Africa;SLES-54508
Sagashi ni Ikouyo;SCPS-11005, NPJC-00014 (PS2 Classics)
Saikyo Shogi Gekisashi Special;SLPM-62740, SLPM-62785 (Mycom Best)
Saikyou no Igo 2;SLPM-62156, SLPM-62312 (Reprint)
Saikyou Toudai Shogi 2003;SLPS-20288
Saikyou Toudai Shogi 2004;SLPS-20347
Saikyou Toudai Shogi 3;SLPS-20082, SLPS-20237 (Mycom Best)
Saikyou Toudai Shogi 4;SLPS-20201, SLPS-20332 (Mycom Best)
Saikyou Toudai Shogi 5;SLPS-20389 (Mycom Best)
Saikyou Toudai Shogi 6;SLPM-62756 (Mycom Best)
Saikyou Toudai Shogi Special;SLPS-20161
Saikyou Toudai Shogi Special II;SLPM-62610, SLPM-62783 (Mycom Best)
Saint & Sinner;SLES-55076
Saint Beast: Rasen no Shou;SLPS-25808, SLPS-25807 (Limited Edition)
Saint Seiya: The Hades;SLES-54162 SLPS-25744, SLPM-61158 (Trial)
Saint Seiya: The Sanctuary;SLES-53201 SLPS-25476
Saishuu Densha;SLPS-25081
Saishuu Shiken Kujira;SLPM-66809, PBGP-0063 (First Print Limited Edition), SLPM-55069 (Sweet So Sweet)
Saiyuki Reload;SLPS-25344
Saiyuki Reload: Gunlock;SLPS-20391, SLKA-15035 (Korea)
Sakigake!! Kuromati Koukou;SLPS-20260
Sakigake!! Kuromati Koukou: Kore wa Hyottoshite Game Nanoka!? Hen;SLPM-62417, SLPM-62585 (Hudson the Best)
Sakura Taisen 3 ~Paris wa Moeteiru ka~;SLPM-65906, SLPM-65900 (First Print Limited Edition), SLKA-25284 (Korea), SLPM-55043 (Sega the Best)
Sakura Taisen Monogatari: Mysterious Paris;SLPM-65515, SLAJ-25034, SCAJ-25034
Sakura Taisen V Episode 0: Kouya no Samurai Musume;SLPM-65531, SLKA-25207 (Korea), SLAJ-25045 (Asia), SLPM-66208 (Sega the Best 2800)
Sakura Taisen: Atsuki Chishio Ni;SLPM-67003, HSN-0003 (First Print Limited Edition), HSN-0002 (Premium Edition), SLKA-35003 (Korea), SLAJ-35003, SCCS-60001
Sakura Wars: So Long, My Love;SLUS-21927 (Disc 1, English Voice Over), SLUS-21930 (Premium Pack, Disc 2, Japanese Voice Over) SLPM-67009, HSN-0006 (Showtime Box), SLKA-35004 (Korea), SLAJ-35001
Sakura: Yuki Gekka;SLPM-65307, SLPM-65306 (First Print Limited Edition)
Sakurazaka Shouboutai;SLPS-25363, SLPS-25666 (Irem Collection), SCAJ-20085, SLPM-60241 (Demo, Taikenban)
Salt Lake 2002;SLUS-20378 SLES-50640, SLES-50356 SLPS-25089
Samurai 7;SLPM-66400, SLPM-66399 (Limited Edition)
Samurai Aces;SLES-53872
Samurai Champloo: Sidetracked;SLUS-21343 SLPS-25600
Samurai Jack: The Shadow of Aku;SLUS-20899 SLES-52479
Samurai Shodown Anthology;SLUS-21629 SLES-55292 SLPS-25839 (NeoGeo Online Collection Vol. 12), SLPS-25934 (NeoGeo Online Collection the Best)
Samurai Shodown V;SLES-53059 SLPS-25346, SLPS-25572 (SNK Best Collection), SCAJ-20092, NPJD-00086 (PS2 Classics)
Samurai Spirits: Tenkaichi Kenkakuden;SLPS-25559, SLPS-25736 (SNK Best Collection), NPJD-00064 (PS2 Classics)
Samurai Warriors;SLUS-20878 SLES-52551, SLES-52553, SLES-52555, SLES-52552, SLES-52554 SLPM-65517, SLPM-65516 (Treasure Box), KOEI-00006 (Treasure Box), KOEI-00011 (Excellent Box), SLKA-25166 (Korea), SLPM-65711 (Premium Box), SLPM-74212 (PlayStation2 The Best), SLPM-74235 (PlayStation2 The Best Reprint), SLAJ-25093 (PlayStation 2 The Best), SLAJ-25035
Samurai Warriors 2;SLUS-21462 SLES-54340 SLPM-66307, SLPM-62716 (Treasure Box), KOEI-00065 (Treasure Box), SLPM-74247 (PlayStation 2 the Best), SLPM-74280 (PlayStation 2 the Best Reprint), SLAJ-25077, NPJD-00013 (PS2 Classics)
Samurai Warriors 2 Empires;SLUS-21585 SLES-54624 SLPM-66542, KOEI-00112 (Treasure Box), SLPM-74266 (PlayStation 2 the Best), SLPM-74284 (PlayStation 2 the Best Reprint), SLAJ-25084
Samurai Warriors 2: Xtreme Legends;SLUS-21726 SLES-55108 KOEI-20129 (Premium Pack w/Sengoku Musou), SLPM-62768 (Bonus, Save Data CD bundled w/ Super Premium Pack), KOEI-20130 (Super Premium Pack w/ Sengoku Musou 2 & 2: Empires), KOEI-20131 (Treasure Box), SLPM-67014, SLPM-66821
Samurai Warriors: Xtreme Legends;SLUS-21080 SLES-53002, SLES-53003, SLES-53004 SLPM-65718, SLPM-65713, SLPM-62535, KOEI-00019 (Treasure Box), SLPM-74249 (PlayStation 2 the Best), SLPM-74224 (PlayStation 2 The Best), SLAJ-25048
Samurai Western;SLUS-21187, SLUS-28051 (Trade Demo) SLES-53234 SLPM-65755, SLPM-61104 (Trial)
Sangoku Rensenki: Otome no Heihou!;SLPM-55289
Sangokushi No Sekai Duo Treasure Box;SLPM-65354 (Dynasty Tactics 2), SLPM-62368 (Special Save Data Collection Disc), KOEI-65247
Sanyo Pachinko Paradise 10;SLPS-20375
Sanyo Pachinko Paradise 11;SLPS-25455
Sanyo Pachinko Paradise 6;SLPS-20102
Sanyo Pachinko Paradise 7;SLPS-20203
Sanyo Pachinko Paradise 8;SLPS-20261
Sanyo Pachinko Paradise 9;SLPS-25249
SAS: Anti Terror Force;SLES-53435
Saturday Night Speedway;SLUS-20640 SLES-52617
Savage Skies;SLUS-20430 SLES-51292 SLPM-65226
SBK Superbike World Championship;SLUS-21817 SLES-55148
SBK-09 Superbike World Championship;SLES-55492
Scaler;SLUS-20957 SLES-52917, SLES-52918
Scandal;SCPS-15001, PCPX-96304 (Demo, Movie disc)
Scared Rider Xechs;SLPM-55266, SLPM-55265 (Limited Edition)
Scared Rider Xechs: Stardust Lovers;SLPM-55290
Scarface: The World Is Yours;SLUS-21111, SLUS-21492 (Collector's Edition), SLUS-21111GH (Greatest Hits) SLES-54271, SLES-54182, SLES-54183, SLES-54184, SLES-54534 (Collectors Edition)
Scarlett: Nichijou no Kyoukaisen;SLPM-55079, SLPM-55075 (DX Pack)
SCEE Catalogue Video;SCED-51187, SCED-51278 (3+)
SCEE Hits Demo;SCED-52970
School Days LxH;SLPM-67015, INCH-0004 (First Print Limited Edition)
School Love!;SLPM-66641, SLPM-66612 (Limited Edition)
School Rumble;SLPS-25540, SLPS-25539 (DX Pack), SLPS-25671 (Best Collection)
School Rumble Ni-Gakki;SLPS-25670, SLPS-25669 (Limited Edition), SLPS-25795 (Best Collection)
Scooby-Doo! and the Spooky Swamp;SLUS-21928 SLES-55609
Scooby-Doo! First Frights;SLUS-21900 SLES-55476
Scooby-Doo! Mystery Mayhem;SLUS-20701 SLES-51883
Scooby-Doo! Night of 100 Frights;SLUS-20349, SLUS-20349GH (Greatest Hits) SLES-51017, SLES-51018, SLES-51019
Scooby-Doo! Unmasked;SLUS-21091 SLES-53100
SCORE International Baja 1000;SLUS-21850 SLES-55295
Scrabble 2003;SLES-51150
SD Gundam Force: Showdown!;SLUS-20698 SLPS-25425
SD Gundam G Generation Neo;SLPS-25170, SLKA-25081 (Korea), SLPS-25491 (Gundam the Best), SLPM-68510 (Kodansha Special Edition)
SD Gundam G Generation Seed;SLPS-25531, SLKA-25170 (Korea), SLPS-25492 (Gundam the Best)
SD Gundam G Generation Spirits;SLPS-25832, SLKA-25413, SLPS-25960 (Gundam 30th Anniversary Collection)
SD Gundam G Generation Wars;SLPS-25941, SCAJ-20203
Se-Pa 2001;SLPM-62079
Sea Monsters: A Prehistoric Adventure;SLUS-21741 SLES-55046
Sea World: Shamu's Deep Sea Adventures;SLUS-21289 SLES-53804
Seaman;SLPS-25065 (First Print Limited Edition w/Microphone), SLPS-25064 (Limited Edition w/Controller), SLPS-25066
Seaman 2;SLPM-66685, HSN-0012 (w/Microphone), SLPM-61163 (Trial)
Seaman: Kanzenban;SLPM-65217
Search & Destroy;SLES-54033
Second Sight;SLUS-21033 SLES-52670
Secret Agent Clank;SCUS-97623 SCES-55496
Secret Game: Killer Queen;SLPM-55028, SLPM-55027 (Limited Edition)
Secret of Evangelion;SLPM-66569, CF00-15019 (Limited Edition Asuka Version), CF00-15018 (Limited Edition Ayanami Version), SLPM-55084 (Best Hit Selection)
Secret Service;SLUS-21836 SLES-55330
Secret Weapons Over Normandy;SLUS-20762 SLES-51707, SLES-51708, SLES-51709, SLES-51710, SLES-51711 SLPM-65483
Seek and Destroy;SLUS-20606 SLES-51603, NPED-00057 (PS2 Classics) SLPM-65105, SLPM-66319 (Atlus Best Collection), SLKA-25047
Sega Ages 2500 Series Vol. 01: Phantasy Star: Generation:1;SLPM-62666, SLPM-62362 (Limited Edition), SLPM-62367, SLPM-62452 (Software Single Version, exists?), NPJD-00057 (PS2 Classics)
Sega Ages 2500 Series Vol. 02: Monaco GP;SLPM-62364
Sega Ages 2500 Series Vol. 03: Fantasy Zone;SLPM-62366, SLPM-62668 (Sega resale)
Sega Ages 2500 Series Vol. 04: Space Harrier;SLPM-62384, SLPM-62669 (Sega resale)
Sega Ages 2500 Series Vol. 05: Golden Axe;SLPM-62385, SLPM-62670 (Sega resale)
Sega Ages 2500 Series Vol. 06: Ichini no Tant-R to Bonanza Bros.;SLPM-62433, SLPM-62671 (Sega resale), NPJD-00046 (PS2 Classics)
Sega Ages 2500 Series Vol. 07: Columns;SLPM-62425, SLPM-62672 (Sega resale)
Sega Ages 2500 Series Vol. 08: Virtua Racing -FlatOut-;SLPM-62443
Sega Ages 2500 Series Vol. 09: Gain Ground;SLPM-62445, SLPM-62674 (Sega resale), NPJD-00038 (PS2 Classics)
Sega Ages 2500 Series Vol. 10: After Burner II;SLPM-62446
Sega Ages 2500 Series Vol. 11: Hokuto no Ken;SLPM-62432, SLPM-62655
Sega Ages 2500 Series Vol. 12: Puyo Puyo Tsuu Perfect Set;SLPM-62400, SLPM-62656
Sega Ages 2500 Series Vol. 13: OutRun;SLPM-62447, SLPM-62675
Sega Ages 2500 Series Vol. 14: Alien Syndrome;SLPM-62500
Sega Ages 2500 Series Vol. 15: Decathlete Collection;SLPM-62444, SLPM-62677
Sega Ages 2500 Series Vol. 16: Virtua Fighter 2;SLPM-62547
Sega Ages 2500 Series Vol. 17: Phantasy Star Generation:2;SLPM-62553, NPJD-00058 (PS2 Classics)
Sega Ages 2500 Series Vol. 18: Dragon Force;SLPM-65778, NPJD-00005 (PS2 Classics)
Sega Ages 2500 Series Vol. 19: Fighting Vipers;SLPM-62606
Sega Ages 2500 Series Vol. 20: Space Harrier Complete Collection;SLPM-62691, NPJD-00024 (PS2 Classics)
Sega Ages 2500 Series Vol. 21: SDI & Quartet - Sega System 16 Collection;SLPM-62692
Sega Ages 2500 Series Vol. 22: Advanced Daisenryaku: Deutsch Dengeki Sakusen;SLPM-62708
Sega Ages 2500 Series Vol. 23: Sega Memorial Selection;SLPM-62709, NPJD-00018 (PS2 Classics)
Sega Ages 2500 Series Vol. 24: Last Bronx: Tokyo Bangaichi;SLPM-62687
Sega Ages 2500 Series Vol. 25: Gunstar Heroes Treasure Box;SLPM-62712, NPJD-00012 (PS2 Classics)
Sega Ages 2500 Series Vol. 26: Dynamite Deka;SLPM-62717, NPJD-00009 (PS2 Classics)
Sega Ages 2500 Series Vol. 27: Panzer Dragoon;SLPM-62718
Sega Ages 2500 Series Vol. 28: Tetris Collection;SLPM-62746
Sega Ages 2500 Series Vol. 29: Monster World Complete Collection;SLPM-62760
Sega Ages 2500 Series Vol. 30: Galaxy Force II - Special Extended Edition;SLPM-62766, NPJD-00037 (PS2 Classics)
Sega Ages 2500 Series Vol. 31: Dennou Senki Virtual On;SLPM-62767
Sega Ages 2500 Series Vol. 32: Phantasy Star Complete Collection;SLPM-62775, NPJD-00028 (PS2 Classics)
Sega Ages 2500 Series Vol. 33: Fantasy Zone Complete Collection;SLPM-62780, NPJD-00053 (PS2 Classics)
Sega Bass Fishing Duel;SLUS-20339 SLES-51388 SLPM-62235
Sega Classics Collection;SLUS-21009 SLES-53461
Sega Genesis Collection;SLUS-21542 SLES-54333
Sega Rally 2006;SLPM-66212, SLPM-61137 (Trial)
Sega Rally Championship 1995;SLPM-62703
Sega Soccer Slam;SLUS-20509 SLES-51125
Sega Sports Tennis;SLUS-20480 SLES-51232 SLPM-62236, SLPM-62394 (Sega the Best 2800), SLPM-62265
Sega Superstars;SLUS-20999 SLES-52834, SLES-52885, SLED-52875 (Demo) SLPM-62559, SLPM-62554 (w/EyeToy)
Sega Superstars Tennis;SLUS-21733 SLES-54946
Sega3 Demo;SCED-50761
Seigi no Mikata;SCPS-11016
Seikai no Senki;SLPM-65937, SLPM-66692 (Best Hit Selection)
Sekai no Zente: Two of Us;SLPM-66544
Sekai Saikyou Ginsei Igo 5;SLPS-20364
Sekai Saikyou Ginsei Igo 6;SLPS-20421
Sekai Saikyou Ginsei Igo Kouza;SLPS-20510
Sekei Saikyou Ginsei Shogi 4;SLPS-20365
Sekirei: Mirai Kara no Okurimono;SLPM-55227, ALCH-00021 (Special Pack)
Selector Demo 01;SCED-50811
Selector Demo 03;SCED-51146
Selector Demo 05;SCED-51591 (France), SCED-51683
Sengoku Anthology;SLES-55512
Sengoku Basara;SLPM-66058, SLPM-66287 (CapKore), SLPM-66859 (Best Price), NPJD-00039 (PS2 Classics)
Sengoku Basara 2;SLPM-66447, SLPM-66691 (CapKore), CPCS-01032 (Double Pack), SLPM-66865 (Best Price), NPJD-00044 (PS2 Classics)
Sengoku Basara 2 Heroes;SLPM-66848, SLPM-74264 (PlayStation 2 the Best), SLPM-74275 (PlayStation 2 the Best Reprint), NPJD-00043 (PS2 Classics)
Sengoku Basara X;SLPM-55008, CPCS-01036 (Limited Edition), SLPM-55224 (Best Price)
Sengoku Hime 2 Honoo: Hyakubana, Senran Tatsukaze no Gotoku;SLPM-55278, SLPM-55277 (Limited Edition)
Sengoku Hime: Senran ni Mau Otometachi;SLPM-55225, SLPM-55218 (Limited Edition), SLPM-55295 (SystemSoft Selection)
Sengoku Musou & Sengoku Musou Moushouden;KOEI-00032
Sengoku Musou 2 & Sengoku Musou 2 Empires Premium Box;KOEI-00113
Sengoku Musou Kouryaku Box;KOEI-00017
Sengoku Tenka Touitsu;SLPS-25919, SLPS-25984 (SystemSoft Selection)
Sengoku W Pack;KOEI-00092
Sensible Soccer 2006;SLES-53810
Sentimental Prelude;SLPS-25395, SLPM-66196 (Reprint)
Sentou Kokka Kai: Legend;SLPM-66741, SLPM-66740 (DX Pack)
Sentou Kokka Kai: New Operations;SLPM-65932
Separate Hearts;SLPM-66298, SLPM-66297 (Limited Edition)
Serious Sam: Next Encounter;SLUS-20907 SLES-52450
Seven Samurai 20XX;SLUS-20621 SLES-52348 SLPS-25313, SLKA-25154 (Korea), SCAJ-20061
Seven: Molmorth no Kiheitai;SLPS-25025, SLPS-73408 (PlayStation2 the Best)
Shadow Hearts;SLUS-20347 SLES-50677, SLES-50822 SLPS-25041, SLPS-73418 (PlayStation2 the Best), SLPM-60145 (Trial)
Shadow Hearts: Covenant;SLUS-21041 (Disc 1), SLUS-21044 (Disc 2) SLES-82030 (Disc 1), SLES-82031 (Disc 2) SLPS-25334 (Disc 1), SLPS-25335 (Disc 2), SLPS-25317 (DX Pack, Disc 1), SLPS-25318 (DX Pack, Disc 2, Bonus DVD), SLPS-73214 (Director's Cut, PlayStation 2 the Best, Disc 1), SLPM-73214 (Director's Cut, PlayStation 2 the Best), SLPM-60226 (Trial), SLPM-60214 (Trial)
Shadow Hearts: From the New World;SLUS-21326 SLES-54711 SLPM-66071, SLPM-66070 (Premium Box), ARZE-66071 (Starter Pack), SLPM-60264 (Trial)
Shadow Man: 2econd Coming;SLUS-20413 SLES-50446, SLES-50608
Shadow of Destiny;SLUS-20146 SLES-50112 SLPM-65013, VW027-J1, SLPM-65070 (Konami the Best), VW027-J2 (Konami the Best), SLPM-61004 (Trial, ZOE shop movie version)
Shadow of Ganymede;SLES-53345
Shadow of Rome;SLUS-20902, SLUS-29139 (Demo) SLES-52950 SLPM-65883, SLPM-66745 (CapKore), SLPM-61109 (Demo), SLPM-61114 (Trial)
Shadow of the Colossus;SCUS-97472, SCUS-97505 (Demo) SCES-53326 SCPS-15097, SCKA-20061, SCPS-19320 (PlayStation2 the Best), SCPS-19335 (PlayStation 2 the Best Reprint), SCAJ-20146, SCAJ-20196 (PlayStation 2 the Best)
Shadow of the Colossus & Ico;SCED-53990
Shadow the Hedgehog;SLUS-21261, SLUS-21261GH (Greatest Hits) SLES-53542, SLES-53542/P (Platinum) SLPM-66166, NPJD-00041 (PS2 Classics)
Shadow Tower Abyss;SLPS-25217, SCAJ-20045
Shakugan no Shana;SLPS-25599, SLPS-25858 (Dengeki SP)
Shaman King: Funbari Spirits;SLPS-25359
Shaman King: Power of Spirit;SLUS-20953 SLES-53353
Shanghai: Four Elements;SLPS-20030, SLPS-20125 (Super Value 2800)
Shanghai: Sangoku Pai Tatagi;SLPS-20241, SLPS-20403 (Super Value 2800)
Shark Tale;SLUS-20925, SLUS-20925GH (Greatest Hits) SLES-52536, SLES-52537, SLES-52539, SLES-52915 SLPM-65901, TCPS-10103
Shaun Palmer's Pro Snowboarder;SLUS-20199 SLES-50400, SLES-50401, SLES-50402 SLPM-65198
Shaun White Snowboarding;SLUS-21853 SLES-55452
She, the Ultimate Weapon;SLPM-65275, VW126-J1, SLPM-65274 (Limited Edition), VW132-J1 (Limited Edition), SLPM-66312 (Konami the Best), VW126-J2 (Konami the Best)
ShellShock: Nam '67;SLUS-20828 SLES-51981, SLES-51982
Shepherd's Crossing;SLUS-21798 SLPM-62442, SLPM-62711 (SuperLite 2000 Simulation), NPJD-00036 (PS2 Classics)
Shibai Michi;SCPS-11030, SCPS-11029 (w/ USB Microphone)
Shifters;SLUS-20271 SLES-50643, SLES-50644, SLES-50645
Shiju Hachi;SLPS-25759
Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou;SLPM-66698
Shikaku Tantei: Sora no Sekai - Thousand Dreams;SLPM-66803
Shikigami no Shiro: Nanayozuki Gensoukyoku;SLPM-66069
Shin Bakusou Dekotora Densetsu;SLPM-65816, SLPM-66387 (Spike the Best)
Shin Best Play Pro Yakyuu;SLPS-20130
Shin Gouketsuji Ichizoku: Bonnou Kaihou;SLPM-66278
Shin Hisui no Shizuku: Hiiro no Kakera 2;SLPM-55217
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi;SLPM-55288, YET-004 (Limited Edition)
Shin Master of Monsters Final EX;SLPS-25978
Shin Megami Tensei: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon;SLUS-21845, SLUS-21897 (Raiho Special Edition), NPUD-21845 (PS2 Classics) SLPM-66683, SLPM-66679 (Plus)
Shin Megami Tensei: Devil Summoner: Raidou Kuzunoha vs. The Soulless Army;SLUS-21431, SLUS-28064 (Trade Demo), NPUD-21431 (PS2 Classics) SLES-54629 SLPM-66246, SLPM-66634 (Atlus Best Collection)
Shin Megami Tensei: Digital Devil Saga;SLUS-20974 (Deluxe Box Set), SLUS-28049 (Trade Demo), NPUD-20974 (PS2 Classics) SLES-53458, NPED-00140 (PS2 Classics) SLPM-65597, SLPM-66372 (Atlus Best Collection), SCAJ-20095, SLKA-25300 (Special Package)
Shin Megami Tensei: Digital Devil Saga 2;SLUS-21152, NPUD-21152 (PS2 Classics), SLUS-28052 (Trade Demo) SLES-54555, NPED-00141 (PS2 Classics) SLPM-65795, SLPM-66373 (Atlus Best Collection), SCAJ-20120, SLKA-25301
Shin Megami Tensei: Nocturne;SLUS-20911, SLUS-28045 (Trade Demo), NPUD-20911 (PS2 Classics) SLES-53363 SLPM-65242, SLPM-65241 (Deluxe Box), SLPM-65259 (Tsutaya original version), SLKA-25076 (Korea), SLPM-65462 (SMT: Nocturne Maniax), SLKA-25160 (Korea, SMT: Nocturne Maniax), SLPM-74205 (PlayStation 2 the Best), SLPM-66681 (Maniax Chronicle Edition), SCAJ-20015
Shin Megami Tensei: Persona 3;SLUS-21569P, SLUS-21569, SLUS-28067 (Trade Demo) SLES-55018 SLPM-66445, PERSONA-01 (Konami Style Special Edition), SCKA-20099
Shin Megami Tensei: Persona 3 FES;SLUS-21621, NPUD-21621 (PS2 Classics), SLUS-28068 (Trade Demo) SLES-55354, NPED-00271 (PS2 Classics) SLPM-66690 (Independent Starting Version), SLPM-66689 (Append Edition), SLPM-83770 (Append Edition), PERSONA-02 (Konami Style Special Edition), PERSONA-03 (Append, Konami Style Special Edition), SCKA-20109 (Independent Starting Version), SLPM-74277 (PlayStation 2 the Best)
Shin Megami Tensei: Persona 4;SLUS-21782, SLUS-28069 (Trade Demo), NPUD-21782 (PS2 Classics) SLES-55474 SLPM-66978, SCKA-20132, SLPM-74278 (PlayStation 2 the Best)
Shin Sangoku Musou 2 Mushouden + Shin Sangoku Musou 2;SLPM-65263 (Dynasty Warriors 3), SLPM-65264 (Dynasty Warriors 3: Xtreme Legends)
Shin Sangoku Musou 2 Premium Pack;SLPM-65171
Shin Sangoku Musou 3 Empires & Mushouden Premium Box;SLPM-65564 (Shin Sangoku Musou 3 Empires), SLPM-65376 (Shin Sangoku Musou 3 Mushouden), KOEI-00008, SLPM-62498 (Bonus, Save Data CD)
Shin Sangoku Musou 3 Mega Pack;SLPM-74217, KOEI-00042
Shin Sangoku Musou 3 Super Premium Box;SLPM-65561, KOEI-00009, SLPM-68012 (Bonus, Save Data CD)
Shin Sangoku Musou 3 Treasure Box;KOEI-65251, SLPM-62331 (Dynasty Warriors 3 & Xtreme Legends save data disc)
Shin Sangoku Musou 4 Empires & Moushouden Premium Box;SLPM-66368, SLPM-66369, KOEI-00070, SLPM-62728 (Shin Sangoku Musou 4 & Shin Sangoku Musou 4 Empires save data collection)
Shin Sangoku Musou 4 Moushouden & Kessen II & Sangokushi VIII;KOEI-00005, SLPM-65436 (Dynasty Warriors 4: Xtreme Legends), SLPM-65437 (Kessen II), SLPM-62420 (Romance of the Three Kingdoms VIII)
Shin Sangoku Musou 4 Super Premium Box;SLPM-66365, KOEI-00069
Shin Sangoku Musou Kouryaku Box;KOEI-00016
